,acc_before,acc_after,eod_before,eod_after
0,0.8,0.75,0.30000000000000004,0.8
1,0.8065693430656934,0.791970802919708,0.13397683397683396,0.7608695652173914
2,0.7696629213483146,0.7696629213483146,0.2777777777777778,0.2777777777777778
3,0.8389105058365759,0.8147859922178988,0.10877828054298644,0.7933884297520661
4,0.8024691358024691,0.7777777777777778,0.071658615136876,0.3027027027027027
5,0.8165007112375533,0.8165007112375533,0.11723520914045571,0.11723520914045571
6,0.74,0.73,0.2963636363636364,0.3872727272727273
7,0.8165680473372781,0.7899408284023669,0.17539703430727385,0.7647058823529411
8,0.516245487364621,0.51985559566787,0.015151515151515138,0.015151515151515138
9,0.8031026252983293,0.7899761336515513,0.18999999999999995,0.55
