,acc_before,acc_after,eod_before,eod_after
0,0.8,0.8,0.0,0.0
1,0.8467153284671532,0.8248175182481752,0.0848982785602504,0.5833333333333334
2,0.8751560549313359,0.8751560549313359,0.12843798295881942,0.12843798295881942
3,0.8102643856920684,0.8040435458786936,0.19258987527512844,0.3650036683785767
4,0.7160493827160493,0.7160493827160493,0.11111111111111116,0.22222222222222227
5,0.8805120910384068,0.8918918918918919,0.3286384976525822,0.6619718309859155
6,0.66,0.66,0.27999999999999997,0.27999999999999997
7,0.8461538461538461,0.8461538461538461,0.13461538461538458,0.2596153846153846
8,0.38848920863309355,0.38848920863309355,0.21669180492709902,0.21669180492709902
9,0.7875894988066826,0.7852028639618138,0.10808858931150694,0.204862782859894
